Year,Month,Quarter,Period,Country,Sector,Deal Type, Value 
2017,11,Q4,2017Q4,Afghanistan,Solar,Asset finance investments, 35.55 
2014,6,Q2,2014Q2,Afghanistan,Small Hydro,Asset finance investments, 331.47 
2013,10,Q4,2013Q4,Afghanistan,Solar,Asset finance investments, 13.47 
2009,5,Q2,2009Q2,Albania,Small Hydro,Asset finance investments, 224.22 
2011,11,Q4,2011Q4,Albania,Small Hydro,Asset finance investments, 10.71 
2012,2,Q1,2012Q1,Albania,Small Hydro,Asset finance investments, 21.00 
2010,12,Q4,2010Q4,Albania,Small Hydro,Asset finance investments, 9.29 
2010,6,Q2,2010Q2,Albania,Small Hydro,Asset finance investments, 13.08 
2012,9,Q3,2012Q3,Albania,Small Hydro,Asset finance investments, 10.50 
2013,12,Q4,2013Q4,Albania,Small Hydro,Asset finance investments, 142.53 
2013,5,Q2,2013Q2,Albania,Small Hydro,Asset finance investments, 145.17 
2006,12,Q4,2006Q4,Algeria,Solar,Asset finance investments, 92.04 
2015,6,Q2,2015Q2,Algeria,Solar,Asset finance investments, 32.00 
2011,3,Q1,2011Q1,Algeria,Wind,Asset finance investments, 30.80 
2014,1,Q1,2014Q1,Algeria,Solar,Asset finance investments, 4.80 
2015,9,Q3,2015Q3,Algeria,Solar,Asset finance investments, 4.80 
2014,4,Q2,2014Q2,Algeria,Solar,Asset finance investments, 372.80 
2016,10,Q4,2016Q4,Algeria,Solar,Asset finance investments, 6.05 
2013,1,Q1,2013Q1,Algeria,Solar,Asset finance investments, 6.58 
2013,1,Q1,2013Q1,Algeria,Solar,Asset finance investments, 28.52 
2013,1,Q1,2013Q1,Algeria,Solar,Asset finance investments, 19.74 
2006,8,Q3,2006Q3,Angola,Small Hydro,Asset finance investments, 30.08 
2010,12,Q4,2010Q4,Angola,Biofuels,Asset finance investments, 10.34 
2011,5,Q2,2011Q2,Argentina,Solar,Asset finance investments, 10.40 
2011,5,Q2,2011Q2,Argentina,Solar,Asset finance investments, 15.60 
2013,12,Q4,2013Q4,Argentina,Solar,Asset finance investments, 11.00 
2012,12,Q4,2012Q4,Argentina,Solar,Asset finance investments, 10.10 
2012,12,Q4,2012Q4,Argentina,Solar,Asset finance investments, 15.15 
2018,3,Q1,2018Q1,Argentina,Solar,Asset finance investments, 28.46 
2018,3,Q1,2018Q1,Argentina,Solar,Asset finance investments, 18.98 
2012,12,Q4,2012Q4,Argentina,Biofuels,Asset finance investments, 133.67 
2007,12,Q4,2007Q4,Argentina,Biomass & Waste,Asset finance investments, 32.90 
2010,8,Q3,2010Q3,Argentina,Biofuels,Asset finance investments, 19.63 
2017,7,Q3,2017Q3,Argentina,Biomass & Waste,Asset finance investments, 3.00 
2009,7,Q3,2009Q3,Argentina,Biomass & Waste,Asset finance investments, 36.77 
