category,rank,geography,score
overall,65,Afghanistan,1.4859682596
fundamentals,69,Afghanistan,1.7134547439
opportunities,60,Afghanistan,0.812602656
experience,20,Afghanistan,1.7043608947
overall,37,Albania,1.7108580363
fundamentals,30,Albania,2.3946551227
opportunities,67,Albania,0.7628336291
experience,41,Albania,1.2912882707
overall,59,Algeria,1.5505404904
fundamentals,51,Algeria,2.0460315864
opportunities,9,Algeria,1.5101280774
experience,81,Algeria,0.5999707113
overall,98,Angola,0.7172181326
fundamentals,92,Angola,1.1416414141
opportunities,90,Angola,0.5630897023
experience,102,Angola,0.0225
overall,9,Argentina,2.2056525117
fundamentals,11,Argentina,2.875479834
opportunities,18,Argentina,1.2423968801
experience,16,Argentina,1.8292534989
overall,26,Armenia,1.8272320622
fundamentals,25,Armenia,2.5105642677
opportunities,76,Armenia,0.7137393934
experience,28,Armenia,1.5740603201
overall,94,Azerbaijan,0.7986066185
fundamentals,97,Azerbaijan,0.9591431854
opportunities,78,Azerbaijan,0.7049342471
experience,82,Azerbaijan,0.5712058559
overall,43,Bangladesh,1.6863015126
fundamentals,35,Bangladesh,2.3255438294
opportunities,30,Bangladesh,1.1281049386
experience,62,Bangladesh,0.9660134532
overall,85,Benin,1.1115144243
fundamentals,85,Benin,1.4368722944
opportunities,71,Benin,0.7453537377
experience,69,Benin,0.8269593707
overall,84,Bolivia,1.120200326
fundamentals,80,Bolivia,1.5129276876
opportunities,99,Bolivia,0.3784699232
experience,54,Bolivia,1.0764760056
overall,62,Bosnia and Herzegovina,1.5058596395
fundamentals,53,Bosnia and Herzegovina,2.0267688717
opportunities,24,Bosnia and Herzegovina,1.1970886013
experience,74,Bosnia and Herzegovina,0.7728122133
overall,74,Botswana,1.2343944408
fundamentals,64,Botswana,1.8448683008
opportunities,65,Botswana,0.7680390639
experience,87,Botswana,0.4798020978
overall,3,Brazil,2.5249016914
fundamentals,1,Brazil,3.4778359325
opportunities,19,Brazil,1.2383158146
experience,15,Brazil,1.9056190861
overall,66,Burkina Faso,1.4852709735
fundamentals,61,Burkina Faso,1.8762002038
opportunities,48,Burkina Faso,0.9253986731
experience,42,Burkina Faso,1.2632848133
overall,61,Burundi,1.5088089959
fundamentals,87,Burundi,1.386707564
opportunities,92,Burundi,0.5520184106
experience,2,Burundi,2.7098024449
overall,42,Cambodia,1.689480599
fundamentals,50,Cambodia,2.0556880102
opportunities,22,Cambodia,1.2159847724
experience,35,Cambodia,1.4305616033
overall,52,Cameroon,1.5977282039
fundamentals,46,Cameroon,2.1232295527
opportunities,51,Cameroon,0.8820948397
experience,43,Cameroon,1.2623588707
overall,77,Central African Republic,1.2090002428
fundamentals,95,Central African Republic,1.0578823954
opportunities,82,Central African Republic,0.6417986804
experience,12,Central African Republic,2.0784375
overall,89,Chad,0.9899343406
fundamentals,82,Chad,1.4859992785
opportunities,80,Chad,0.6678923387
experience,92,Chad,0.3198464666
overall,1,Chile,2.6044240745
fundamentals,3,Chile,3.3109485588
opportunities,6,Chile,1.5797862457
experience,8,Chile,2.2160129346
overall,5,China,2.2528300715
fundamentals,18,China,2.6278556006
opportunities,2,China,1.7837138395
experience,13,China,1.9718952453
overall,25,Colombia,1.8359430858
fundamentals,31,Colombia,2.3871533373
opportunities,3,Colombia,1.7546193099
experience,70,Colombia,0.8148463586
overall,93,Congo,0.9326711665
fundamentals,90,Congo,1.3061219336
opportunities,33,Congo,1.0979862532
experience,103,Congo,0.0204545455
