category,rank,geography,score
overall,1,India,2.922440359
overall,2,Chile,2.855919557
overall,3,Brazil,2.75668746
overall,4,China,2.591876008
overall,5,Kenya,2.505337645
overall,6,Jordan,2.50390839
overall,7,Argentina,2.481989795
overall,8,Ukraine,2.468222297
overall,9,Peru,2.408320612
overall,10,Morocco,2.379049858
overall,11,Taiwan,2.364642985
overall,12,Zambia,2.349534708
overall,13,Philippines,2.338094152
overall,14,Colombia,2.335929637
overall,15,Nigeria,2.333931824
overall,16,Georgia,2.308009169
overall,17,Panama,2.302036672
overall,18,Uganda,2.254083409
overall,19,Uruguay,2.253407793
overall,20,Bangladesh,2.200344779
overall,21,Thailand,2.198759881
overall,22,Vietnam,2.175053591
overall,23,Guatemala,2.171215848
overall,24,Mexico,2.165422527
overall,25,Rwanda,2.163126772
overall,26,El Salvador,2.140071971
overall,27,Nicaragua,2.130988153
overall,28,South Africa,2.118975729
overall,29,Dominican Republic,2.092526971
overall,30,Nepal,2.083700467
overall,31,Kazakhstan,2.080252291
overall,32,Serbia,2.053306168
overall,33,Turkey,2.029053467
overall,34,North Macedonia,2.023918208
overall,35,Malaysia,2.022676399
overall,36,Myanmar,2.016994328
overall,37,Honduras,1.990334801
overall,38,Tanzania,1.987845197
overall,39,Namibia,1.964469109
overall,40,United Arab Emirates,1.95898113
overall,41,Cambodia,1.939789522
overall,42,Senegal,1.927035134
overall,43,Pakistan,1.919212377
overall,44,Togo,1.911004777
overall,45,Singapore,1.894858741
overall,46,Sierra Leone,1.894250916
overall,47,Zimbabwe,1.893676805
overall,48,Costa Rica,1.879552422
overall,49,Mali,1.876001845
overall,50,Armenia,1.873309144
overall,51,Egypt,1.850036411
overall,52,Albania,1.849055824
overall,53,Iraq,1.845022276
overall,54,Madagascar,1.841999232
overall,55,Mongolia,1.827456022
overall,56,Ethiopia,1.821416398
overall,57,Tunisia,1.817768407
overall,58,Oman,1.813227015
overall,59,Afghanistan,1.806318091
overall,60,Sri Lanka,1.755074046
overall,61,Cameroon,1.753671323
overall,62,Burkina Faso,1.742029077
overall,63,Ghana,1.740508835
overall,64,Malawi,1.732076012
overall,65,Burundi,1.714104139
overall,66,Russia,1.710238228
