id,indicatorId,name,type,description,labelX,labelY
utilityPrivatisation,Utility privatisation,Utility privatisation,answer,Sector of the power market open to private participation.,,
concentrationGeneration,Concentration of generation market,Concentration of generation market,answer,Is the generation market concentrated?,,
powerPlantFleet,Power plant fleet modernisation program,Power plant fleet modernisation program,answer,,,
gapToTarget,Gap to target,Gap to target,answer,,,
upcomingAuctions,Upcoming auctions,Upcoming auctions,answer,,,
wholesaleDistortions,Wholesale price distortions,Wholesale price distortions,answer,,,
currencyVariation,Currency variation,Currency variation,answer,,,
offtakerRisk,Offtaker risk,Offtaker risk,answer,,,
standardisedPpa,Standardised PPAs,Standardised PPAs,answer,,,
ppaSufficientDuration,PPAs of sufficient duration,PPAs of sufficient duration,answer,,,
purchaseObligation,Purchase obligation,Purchase obligation,answer,,,
minigridLicensing,Mini-grids: licensing,Mini-grids: licensing,answer,,,
keroseneDieselSubsidies,Kerosene and diesel subsidies,Kerosene and diesel subsidies,answer,,,
curtailmentRisk,Curtailment risk,Curtailment risk,answer,,,
installedCapacity,3.05,Installed Capacity,timeSeries,,year,MW
powerGeneration,3.06,Power Generation,timeSeries,,year,GWh
cleanEnergyInvestment,investment,Clean Energy Investment,timeSeries,,year,usd/m
