year,month,quarter,period,geography,sector,Deal Type,value
2004,12,Q4,< 2006,Argentina,Biofuels,Asset finance investments,4.55
2004,12,Q4,< 2006,Argentina,Biofuels,Asset finance investments,4.825
2004,9,Q3,< 2006,Bolivia,Small hydro,Asset finance investments,19.00043895
2004,2,Q1,< 2006,Brazil,Biomass & waste,Asset finance investments,30.72
2004,3,Q1,< 2006,Brazil,Biofuels,Asset finance investments,3.6
2004,10,Q4,< 2006,Brazil,Biofuels,Asset finance investments,1.8
2004,12,Q4,< 2006,Brazil,Biomass & waste,Asset finance investments,18.27965
2004,12,Q4,< 2006,Brazil,Biofuels,Asset finance investments,18.845
2004,9,Q3,< 2006,Brazil,Small hydro,Asset finance investments,36.26844
2004,12,Q4,< 2006,Brazil,Biofuels,Asset finance investments,1.8
2004,9,Q3,< 2006,Brazil,Biofuels,Asset finance investments,0.215
2004,3,Q1,< 2006,Brazil,Small hydro,Asset finance investments,61.0328
2004,6,Q2,< 2006,Brazil,Small hydro,Asset finance investments,31.59362
2004,6,Q2,< 2006,Brazil,Small hydro,Asset finance investments,9.35274
2004,5,Q2,< 2006,Brazil,Biofuels,Asset finance investments,2.7
2004,1,Q1,< 2006,Brazil,Small hydro,Asset finance investments,10.608
2004,1,Q1,< 2006,Brazil,Biofuels,Asset finance investments,11.34406
2004,12,Q4,< 2006,Brazil,Biofuels,Asset finance investments,74.66389
2004,6,Q2,< 2006,Brazil,Biofuels,Asset finance investments,38.5
2004,8,Q3,< 2006,Brazil,Biofuels,Asset finance investments,26
2004,5,Q2,< 2006,Brazil,Biomass & waste,Asset finance investments,66.4
2004,8,Q3,< 2006,Brazil,Biofuels,Asset finance investments,59.5
2004,6,Q2,< 2006,Brazil,Small hydro,Asset finance investments,6.06
2004,7,Q3,< 2006,Brazil,Small hydro,Asset finance investments,17.04
2004,5,Q2,< 2006,Brazil,Small hydro,Asset finance investments,33
2004,6,Q2,< 2006,Brazil,Biomass & waste,Asset finance investments,20.48
2004,12,Q4,< 2006,Brazil,Biofuels,Asset finance investments,21
2004,11,Q4,< 2006,Brazil,Biofuels,Asset finance investments,24.15
2004,6,Q2,< 2006,Brazil,Biomass & waste,Asset finance investments,12.8
2004,1,Q1,< 2006,Brazil,Biomass & waste,Asset finance investments,10.24
2004,4,Q2,< 2006,Chile,Biomass & waste,Asset finance investments,35.84
2004,12,Q4,< 2006,China,Wind,Asset finance investments,36.97092
2004,10,Q4,< 2006,China,Wind,Asset finance investments,43.4952
2004,9,Q3,< 2006,China,Wind,Asset finance investments,26.6
2004,1,Q1,< 2006,China,Wind,Asset finance investments,25.13056
2004,8,Q3,< 2006,China,Wind,Asset finance investments,98.291016
2004,3,Q1,< 2006,China,Solar,Asset finance investments,31
2004,12,Q4,< 2006,China,Wind,Asset finance investments,32.3652616
2004,4,Q2,< 2006,China,Solar,Asset finance investments,7.5
2004,11,Q4,< 2006,China,Wind,Asset finance investments,35.0897526
2004,6,Q2,< 2006,China,Biomass & waste,Asset finance investments,15.22206
2004,7,Q3,< 2006,China,Wind,Asset finance investments,0.72
2004,12,Q4,< 2006,China,Wind,Asset finance investments,17.7110038
2004,10,Q4,< 2006,China,Wind,Asset finance investments,2.88
2004,9,Q3,< 2006,China,Biomass & waste,Asset finance investments,16.9148
2004,7,Q3,< 2006,China,Biomass & waste,Asset finance investments,26.5804
2004,9,Q3,< 2006,China,Biomass & waste,Asset finance investments,108.738
2004,7,Q3,< 2006,China,Biomass & waste,Asset finance investments,64.0346
2004,3,Q1,< 2006,China,Biomass & waste,Asset finance investments,33.46437
2004,5,Q2,< 2006,China,Biomass & waste,Asset finance investments,26.5782
2004,1,Q1,< 2006,China,Biomass & waste,Asset finance investments,68.8674
2004,12,Q4,< 2006,China,Biomass & waste,Asset finance investments,42.287
