id,topic,category,indicator,subindicator,units,geography,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,note
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Canada,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,United States,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Argentina,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Bolivia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Brazil,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Chile,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Colombia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Costa Rica,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Dominican Republic,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Ecuador,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,El Salvador,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Guatemala,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Haiti,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Honduras,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Jamaica,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Mexico,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Nicaragua,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Panama,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Paraguay,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Peru,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Uruguay,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Afghanistan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Armenia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Australia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Azerbaijan,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Bangladesh,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Cambodia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Mainland China,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Georgia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,India,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Indonesia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Japan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Kazakhstan,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Korea (Republic),,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Kyrgyzstan,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Laos,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Malaysia,,,,,,,,,,0.5,
